id_m;opis_m;slup_lewy;slup_prawy;sciana_lewa;sciana_prawa;sciana_przod;klatka_m
1;0;0;1;0;0;1;L
2;0;1;0;0;0;1;L
3;0;0;1;0;0;1;L
4;0;1;0;0;0;1;L
5;0;0;0;0;0;1;L
6;0;0;0;1;0;0;L
7;0;0;1;0;0;1;L
8;brak;0;0;0;0;0;0
9;0;0;0;0;0;1;L
10;0;0;0;0;1;0;M
11;0;1;0;0;0;1;M
12;0;0;1;0;0;1;M
13;0;0;0;0;0;1;M
14;0;0;1;1;0;0;M
15;0;1;0;0;0;1;M
16;0;1;0;0;1;0;N
17;0;0;1;0;0;1;N
18;0;0;0;0;0;1;N
19;0;1;0;0;0;1;N
20;0;0;1;1;0;0;N
21;0;0;1;0;0;1;N
22;0;1;0;0;1;0;P
23;0;1;1;0;0;1;P
24;0;0;1;0;0;1;P
25;0;0;0;0;0;1;P
26;0;0;1;1;0;0;P
27;0;1;0;0;0;1;P
28;0;1;0;0;1;0;R
29;0;0;1;0;0;1;R
30;0;0;0;0;0;1;R
31;0;1;0;0;0;1;R
32;0;0;0;1;0;0;R
33;0;0;1;0;0;1;R
34;brak;0;0;0;0;0;0
35;0;0;0;0;0;1;R
36;0;0;0;0;1;0;T
37;0;1;0;0;0;1;T
38;0;0;1;0;0;1;T
39;0;0;0;0;0;1;T
40;0;0;0;1;0;0;T
41;0;0;0;1;0;1;U
42;0;1;1;0;0;0;T
43;0;0;0;0;1;1;U
44;0;0;0;0;0;1;U
45;0;1;0;0;0;1;U
46;0;0;0;0;1;0;T
47;0;0;1;0;0;1;U
48;0;0;0;0;0;1;U
49;0;1;0;0;0;1;U
50;0;0;1;0;0;1;0
51;0;1;0;0;0;1;0
52;0;0;1;0;0;1;0
53;0;0;0;0;0;1;0
54;0;1;0;0;0;1;0
55;0;0;1;0;0;1;0
56;0;0;0;0;0;1;0
57;0;0;1;1;0;0;0
58;0;1;0;0;0;1;0
59;0;0;1;0;0;1;0
60;0;0;0;0;0;1;0
61;0;1;0;0;0;1;A
62;0;1;0;0;1;0;A
63;0;0;1;0;0;1;A
64;0;0;0;0;0;1;A
65;0;1;0;0;0;1;A
66;0;0;1;0;0;1;A
67;0;0;0;0;0;1;A
68;0;1;0;0;0;1;B
69;0;0;1;0;0;1;B
70;0;0;0;0;0;1;B
71;0;0;1;1;0;0;B
72;0;1;0;0;0;1;B
73;0;0;1;0;0;1;B
74;0;0;0;0;0;1;B
75;0;1;0;0;0;1;B
76;brak;0;0;0;0;0;0
77;0;1;0;0;0;1;C
78;rodzinne;1;1;0;0;1;C
79;0;1;0;0;0;0;B
80;0;0;1;1;0;1;C
81;skosne;0;1;0;0;0;C
82;0;1;0;0;0;0;C
83;0;0;0;0;1;1;C
84;0;0;0;0;0;0;C
85;brak;0;0;0;0;0;0
86;0;0;1;0;0;0;D
87;0;0;0;1;0;1;D
88;skosne;1;0;0;0;0;D
89;0;0;1;0;0;0;D
90;0;1;0;0;1;1;D
91;0;1;0;0;0;0;E
92;0;0;1;1;0;1;E
93;skosne;0;1;0;0;0;E
94;0;1;0;0;0;0;E
95;0;0;0;0;1;1;E
96;0;0;0;0;0;0;E
97;brak;0;0;0;0;0;0
98;0;0;1;0;0;0;F
99;0;0;0;1;0;1;F
100;skosne;1;0;0;0;0;F
101;0;0;1;0;0;0;F
102;0;1;0;0;1;1;F
103;0;1;0;0;0;0;G
104;0;0;1;1;0;1;G
105;skosne;0;1;0;0;0;G
106;0;1;0;0;0;0;G
107;0;0;0;0;1;1;G
108;0;0;0;0;0;0;G
109;brak;0;0;0;0;0;0
110;0;0;1;0;0;0;H
111;0;0;0;1;0;1;H
112;skosne;1;0;0;0;0;H
113;0;0;1;0;0;0;H
114;0;1;0;0;1;1;H
115;0;0;1;0;0;1;H
116;0;0;0;0;0;1;H
117;0;1;0;0;0;1;H
118;0;0;1;0;0;1;J
119;0;0;0;0;0;1;J
120;0;1;0;0;0;1;J
121;0;0;1;1;0;1;J
122;0;0;0;0;1;1;J
123;brak;0;0;0;0;0;0
124;0;0;0;1;0;1;K
125;0;1;0;0;1;1;K
126;0;0;1;1;0;1;L
127;0;0;0;0;1;1;L
128;0;0;0;1;0;1;L
129;0;0;0;1;0;0;T
130;0;0;0;0;1;0;0
131;0;0;0;0;0;0;T
132;0;0;0;0;0;0;0
133;0;0;1;0;0;0;T
134;0;1;0;0;0;0;0
135;0;1;0;0;0;0;T
136;0;0;1;0;0;0;0
137;0;0;0;0;0;0;T
138;0;0;0;0;0;0;0
139;0;0;1;0;0;0;T
140;0;1;0;0;0;0;0
141;0;1;0;0;0;0;R
142;0;0;1;0;0;0;0
143;0;0;0;0;0;0;R
144;0;0;0;0;0;0;0
145;0;0;1;0;0;0;R
146;0;1;0;0;0;0;0
147;rownolegle;1;1;0;0;0;P
148;0;0;1;0;0;0;0
149;0;0;0;0;0;0;0
150;0;1;0;0;0;0;0
151;rownolegle;1;1;0;0;0;0
152;0;0;1;0;0;0;0
153;0;0;0;0;0;0;0
154;0;1;0;0;0;0;0
155;0;0;1;0;0;0;0
156;0;0;0;0;0;0;0
157;0;1;0;0;0;0;0
158;0;0;1;0;0;0;0
159;0;0;0;0;0;0;0
160;0;1;0;0;0;0;0
161;0;1;0;0;0;0;0
162;0;0;1;0;0;0;A
163;0;0;0;0;0;0;0
164;0;0;0;0;0;0;A
165;0;0;1;0;0;0;0
166;0;1;0;0;0;0;A
167;0;0;1;0;0;0;0
168;0;0;1;0;0;0;0
169;0;0;0;0;0;0;0
170;0;0;0;0;0;0;0
171;0;0;1;0;0;0;0
172;0;1;0;0;0;0;0
173;0;1;0;0;0;0;0
174;0;0;1;0;0;0;0
175;0;0;0;0;0;0;0
176;0;0;0;0;0;0;0
177;0;0;1;0;0;0;0
178;brak;0;0;0;0;0;0
179;brak;0;0;0;0;0;0
180;0;1;0;0;0;0;0
181;0;1;0;0;0;0;0
182;0;0;1;0;0;0;0
183;0;0;0;0;0;0;0
184;0;0;0;0;0;0;0
185;0;0;1;0;0;0;0
186;0;1;0;0;0;0;0
187;0;1;0;0;0;0;0
188;0;0;1;0;0;0;0
189;0;0;0;0;0;0;0
190;0;0;0;0;0;0;0
191;0;0;1;0;0;0;0
192;0;1;0;0;0;0;0
193;0;1;0;0;0;0;0
194;0;0;1;0;0;0;0
195;0;0;0;0;0;0;0
196;0;0;0;0;0;0;0
197;0;0;1;0;0;0;0
198;0;1;0;0;0;0;0
199;0;1;0;0;0;0;0
200;0;0;1;0;0;0;0
201;0;0;0;0;0;0;0
202;0;0;0;0;0;0;0
203;0;0;1;0;0;0;0
204;0;1;0;0;0;0;0
205;0;1;0;0;0;0;0
206;0;0;1;0;0;0;0
207;0;0;0;0;0;0;0
208;0;0;0;0;0;0;0
209;0;0;1;0;0;0;0
210;0;1;0;0;0;0;0
211;0;1;0;0;0;0;0
212;0;0;1;0;0;0;0
213;0;0;0;0;0;0;0
214;0;0;0;0;0;0;0
215;0;0;1;0;0;0;0
216;0;1;0;0;0;0;0
217;0;0;0;1;0;0;A
218;0;0;0;0;1;0;B
219;0;0;0;0;0;0;A
220;0;0;0;0;0;0;B
221;0;0;1;0;0;0;A
222;0;1;0;0;0;0;B
223;0;1;0;0;0;0;0
224;0;0;1;0;0;0;0
225;0;0;0;0;0;0;0
226;0;0;0;0;0;0;0
227;0;0;1;0;0;0;0
228;0;1;0;0;0;0;0
229;0;1;0;0;0;0;0
230;0;0;1;0;0;0;0
231;0;0;0;0;0;0;0
232;0;0;0;0;0;0;0
233;0;0;1;0;0;0;0
234;0;1;0;0;0;0;0
235;0;1;0;0;0;0;0
236;0;0;1;0;0;0;0
237;0;0;0;0;0;0;0
238;0;0;0;0;0;0;0
239;0;0;1;0;0;0;0
240;0;1;0;0;0;0;0
241;0;1;0;0;0;0;0
242;0;0;1;0;0;0;0
243;0;0;0;0;0;0;0
244;0;0;0;0;0;0;0
245;0;0;1;0;0;0;0
246;0;1;0;0;0;0;0
247;0;1;0;0;0;0;0
248;0;0;1;0;0;0;0
249;0;0;0;0;0;0;0
250;0;0;0;0;0;0;0
251;0;0;1;0;0;0;0
252;0;1;0;0;0;0;0
253;0;1;0;0;0;0;0
254;0;0;1;0;0;0;0
255;0;0;0;0;0;0;0
256;0;0;0;0;0;0;0
257;0;0;1;0;0;0;0
258;0;1;0;0;0;0;0
259;0;1;0;0;0;0;0
260;0;0;1;0;0;0;0
261;0;0;0;0;0;0;0
262;0;0;0;0;0;0;0
263;0;0;1;0;0;0;0
264;0;1;0;0;0;0;0
265;0;1;0;0;0;0;0
266;0;0;1;0;0;0;0
267;0;0;0;0;0;0;0
268;0;0;0;0;0;0;0
269;0;0;1;0;0;0;0
270;0;1;0;0;0;0;0
271;T1;1;0;0;0;0;0
272;T2;0;0;0;0;0;0
273;T3;0;1;0;0;0;0
274;T4;1;0;0;0;0;0
